# Rime user dictionary
#@/db_name	jyut6ping3
#@/db_type	userdb
#@/rime_version	1.8.5
#@/tick	57107
#@/user_id	f0f17d41-97b2-4dca-ad5e-3e828221d473
bei1 soeng1 	悲傷	c=1 d=9.28127e-94 t=57107
bei2 	比	c=22 d=0.000669459 t=57107
bei2 	畀	c=44 d=0.00383235 t=57107
bei2 gaau3 	比較	c=56 d=0.0485843 t=57107
bei2 gaau3 do1 	比較多	c=1 d=2.16595e-63 t=57107
bei2 ji5 	比爾	c=1 d=8.47812e-88 t=57107
bei2 jyu4 	比如	c=22 d=0.564878 t=57107
bei2 lai6 	比例	c=3 d=1.75539e-61 t=57107
bei2 leon4 	毗鄰	c=1 d=4.05261e-110 t=57107
bei2 leot6 	比率	c=2 d=2.58737e-102 t=57107
bei2 on1 	比安	c=1 d=5.48647e-115 t=57107
bei6 	備	c=2 d=5.83902e-83 t=57107
bei6 	被	c=27 d=0.00114446 t=57107
bei6 fan6 	備份	c=6 d=1.84708e-13 t=57107
bei6 jung6 	備用	c=3 d=9.82004e-52 t=57107
bei6 jyu5 	避雨	c=1 d=7.42537e-87 t=57107
bei6 min5 	避免	c=9 d=0.711106 t=57107
bei6 on3 	備案	c=30 d=2.82082e-07 t=57107
bei6 sik1 juk6 	鼻息肉	c=1 d=1.34785e-100 t=57107
bei6 zyu3 	備註	c=17 d=1.28801e-07 t=57107
beng2 	餅	c=1 d=8.94804e-105 t=57107
beng6 	病	c=4 d=2.05087e-09 t=57107
beng6 fong2 	病房	c=1 d=1.53361e-119 t=57107
beng6 lik6 	病歷	c=2 d=1.34829e-107 t=57107
beng6 si2 	病史	c=1 d=1.11807e-107 t=57107
bik1 	碧	c=3 d=8.74878e-46 t=57107
bik1 	逼	c=1 d=7.66063e-101 t=57107
bin1 	邊	c=20 d=2.62069e-11 t=57107
bin1 go3 	邊個	c=2 d=1.5988e-50 t=57107
bin3 	變	c=13 d=0.666977 t=57107
bin3 dak1 	變得	c=1 d=4.93336e-12 t=57107
bin3 dung6 	變動	c=1 d=1.10052e-68 t=57107
bin3 faa3 	變化	c=7 d=9.92185e-44 t=57107
bin3 gang1 	變更	c=5 d=1.1723e-17 t=57107
bin3 gwaa3 	變卦	c=1 d=6.1109e-89 t=57107
bin3 jing4 	變形	c=1 d=8.05777e-78 t=57107
bin3 loeng6 	變量	c=25 d=0.0401553 t=57107
